#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
#文字Id,文字内容,文字内容,文字內容
xgCike,火刺壳,Fireshell,火刺殼
xgWushi,舞狮,Dancing Lion,舞獅
xgXiaochou,小丑,Joker,小丑
xgWagui,哇鬼,Phase Frog,哇鬼
xgBingyan,史莱姆,Slime,史萊姆
xgHetong,河童,Kappa,河童
xgHuapo,花魄,Flower Pixie,花魄
xgXiyiren,蜥蜴人,Lizardman,蜥蜴人
bossdajie16Zouyincao2,走音草,Clinker Plant,走音草
xgPiying,皮影,Shadow Puppet,皮影
xgMengyan,梦魇,Bangungot,夢魘
xgWeitianshi,伪天使,Fallen Angel,偽天使
xgMomo,得莫菲,Demovoy,得莫菲
xgMantuoluo,曼陀罗,Mandrake,曼陀羅
xgMendige,温迪戈,Wendigo,溫蒂戈
xgShuigui,幽灵船长,Soul Pirate,幽靈船長
xgLangren,狼人,Werewolf,狼人
xgNvyao,报丧女妖,Banshee,報喪女妖
xgLonggongtongzi,龙宫童子,Ryuku Doji,龍宮童子
xgPanshen,潘神,Pans,潘神
xgHapi,哈皮,Harpy,哈皮
xgDaochengsizhong,道成寺妖,Maiden Dojoji,道成寺妖
xgHuoniao,火鸟,Firebird,火鳥
xgHongniu,米诺到诺斯,Minotaur,米諾到諾斯
xgChange,嫦娥,Moon Devine,嫦娥
xgDujiaoshou,独角兽,Pegasus,獨角獸
xgKairuisi,凯瑞斯,Keres,凱瑞斯
xgAmute,鳄鱼判官,Croc Warden,鱷魚判官
xgLuoxinfu,络新妇,Nephila,絡新婦
xgLongnv,龙女,Dragon Girl,龍女
xgJinglingwang,精灵王子,Elf Prince,精靈王子
xgIfrit,伊芙利特,Ifrit,伊芙利特
xgSenlinyaoji,森林妖姬,Dryad,森林妖姬
xgDatiangou,大天狗,Tengu,大天狗
xgAnpusha,安普沙,Empusa,安普沙
xgBingxuenvwang,冰雪女王,Chione,冰雪女王
xgWendige,温迪戈,Wendigo,溫蒂戈
xgSaibulesi,地狱犬,Hellhound,地獄犬
xgYifulite,伊芙利特,Ifrit,伊芙利特
xgMoguguai,蘑菇怪,Matango,蘑菇怪
xgTianshizhang,天使长,Archangel,天使長
Meidusha,美杜莎,Medusa,美杜莎
Hehuaisituosi,工匠之神,God of Craft,工匠之神
Jiuweihu,九尾,Nine Tails,九尾
Huangjinzhiling,黄金之灵,Soul of Gold,黃金之靈
Datiangou,大天狗,Tengu,大天狗
xgSheshouzuo,星空射手,Astro Archer,星空射手
Ladong,守护龙,Guardian Dragon,守護龍
bossxiaoxiang28Muling2,木灵,Kodama,木靈
Yimier,冰龙,Ice Dragon,冰龍
Karong,卡戎,Charon,卡戎
bossrenjie86Mameng4,玛蒙,Mammon,瑪蒙
bossrenjie87Beiergefu5,贝尔哥夫,Belphegor,貝爾哥夫
bossrenjie88Yafogemeng5,亚弗戈蒙,Aforgomon,亞弗戈蒙
xgKahuna2,多多洛,Troll Sayama,多多洛
xgJinglingwang2,精灵王子,Elf Prince,精靈王子
xgYifanmumian1,一反木棉,Ittan Momen,一反木棉
xiaochoutips,想看我变戏法吗？,Who wants to see me juggle?,想看我變戲法嗎？
hetongtips,我……我想跟人类做朋友……,I… I would like to be friends with humans…,我……我想跟人類做朋友……
waguitips,呱~呱~呱~,Ribbit. Ribbit.,呱~呱~呱~
ciketips,我的忍道，一往无前！,I know kung-fu!,我的忍道，一往無前！
huapotips,可不要小瞧花朵的力量哦~,Don't underestimate flower power!,可不要小瞧花朵的力量哦~
wusihtips,嗷嗷嗷~,Rawr.,嗷嗷嗷~
xiyirentips,叽叽叽~入侵者只有一个下场！,"I'm a lizard, man.",嘰嘰嘰~入侵者只有一個下場！
piyingtips,有光的地方就有影！,"If there's light, there's shadows!",有光的地方就有影！
momotips,接受大自然的馈赠，这是生存的真谛。,"Accept nature's gift, it is the meaning of survival.",接受大自然的饋贈，這是生存的真諦。
shilaimutips,吞噬……变大……我要变得更大……,Must… Devour… More!!,吞噬……變大……我要變得更大……
mengyantips,对未知的恐惧，让噩梦永不落幕。,"Fear the unknown, so the nightmare never ends.",對未知的恐懼，讓噩夢永不落幕。
weitianshitips,………………,…,………………
moguguaitips,蘑菇~蘑菇~蘑菇~,Get a life…,蘑菇~蘑菇~蘑菇~
panshentips,哟~美人儿~可否赏光和我去喝个咖啡？,"Oh my beauty, would you join me for a cup of coffee?",喲~美人兒~可否賞光和我去喝個咖啡？
mantuoluotips,你们不要过来，再靠近我可要叫了……,Any closer and I'll scream…,你們不要過來，再靠近我可要叫了……
longgongtongzitips,是你找到我的小乌龟吗？,Did you find my little turtle?,是你找到我的小烏龜嗎？
langrentips,啊！满月，我感觉身体充满了力量！,Oh full moon! I feel the power!,啊！滿月，我感覺身體充滿了力量！
shuiguitips,想加入我的船队吗，不过代价是你的生命。,You may join me crew… But the price be yer life!,想加入我的船隊嗎，不過代價是你的生命。
nvyaotips,请问，这里是通往葬礼的路吗？,"Excuse me, will the funeral procession be heading this way?",請問，這裡是通往葬禮的路嗎？
hapitips,风中的精灵已经带给我你的消息了。,The spirits of the wind have already given my your message.,風中的精靈已經帶給我你的消息了。
