#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
#文字Id,文字内容,文字内容,文字内容
defendName,防御,Defense,防禦
attackMetalCutSlightName,弱攻击,Weak Attack,弱攻擊
attackMetalCutMediumName,攻击,Attack,攻擊
attackMetalCutStrongName,强力攻击,Strong Attack,強力攻擊
attackPlantCutSlightName,弱攻击,Weak Attack,弱攻擊
attackPlantCutMediumName,攻击,Attack,攻擊
attackPlantCutStrongName,强力攻击,Strong Attack,強力攻擊
attackWaterCutSlightName,弱攻击,Weak Attack,弱攻擊
attackWaterCutMediumName,攻击,Attack,攻擊
attackWaterCutStrongName,强力攻击,Strong Attack,強力攻擊
attackFireCutSlightName,弱攻击,Weak Attack,弱攻擊
attackFireCutMediumName,攻击,Attack,攻擊
attackFireCutStrongName,强力攻击,Strong Attack,強力攻擊
attackEarthCutSlightName,弱攻击,Weak Attack,弱攻擊
attackEarthCutMediumName,攻击,Attack,攻擊
attackEarthCutStrongName,强力攻击,Strong Attack,強力攻擊
attackMetalStabSlightName,弱攻击,Weak Attack,弱攻擊
attackMetalStabMediumName,攻击,Attack,攻擊
attackMetalStabStrongName,强力攻击,Strong Attack,強力攻擊
attackPlantStabSlightName,弱攻击,Weak Attack,弱攻擊
attackPlantStabMediumName,攻击,Attack,攻擊
attackPlantStabStrongName,强力攻击,Strong Attack,強力攻擊
attackWaterStabSlightName,弱攻击,Weak Attack,弱攻擊
attackWaterStabMediumName,攻击,Attack,攻擊
attackWaterStabStrongName,强力攻击,Strong Attack,強力攻擊
attackFireStabSlightName,弱攻击,Weak Attack,弱攻擊
attackFireStabMediumName,攻击,Attack,攻擊
attackFireStabStrongName,强力攻击,Strong Attack,強力攻擊
attackEarthStabSlightName,弱攻击,Weak Attack,弱攻擊
attackEarthStabMediumName,攻击,Attack,攻擊
attackEarthStabStrongName,强力攻击,Strong Attack,強力攻擊
attackMetalSmashSlightName,弱攻击,Weak Attack,弱攻擊
attackMetalSmashMediumName,攻击,Attack,攻擊
attackMetalSmashStrongName,强力攻击,Strong Attack,強力攻擊
attackPlantSmashSlightName,弱攻击,Weak Attack,弱攻擊
attackPlantSmashMediumName,攻击,Attack,攻擊
attackPlantSmashStrongName,强力攻击,Strong Attack,強力攻擊
