#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
pet_character_1,输出,Attack
pet_character_2,输出,Attack
pet_character_3,支援,Support
pet_character_4,支援,Support
pet_character_5,治疗,Healer
pet_character_6,肉盾,Tank
Valor,输出,Attack
Spiritual,输出,Attack
Mischievous,支援,Support
Collaborate,支援,Support
Compassion,治疗,Healer
Humility,肉盾,Tank
descrip_valor,善于运用伤害技能，是队伍的主要输出,Unleashes high damage abilities and acts as the team's main DPS
descrip_spiritual,善于运用伤害技能，是队伍的主要输出,Unleashes high damage abilities and acts as the team's main DPS
descrip_mischievous,提供各种增益和减益状态，辅助队伍,Provides buffs and debuffs to support the team in battle
descrip_collaborate,提供各种增益和减益状态，辅助队伍,Provides buffs and debuffs to support the team in battle
descrip_compassion,善于运用治疗技能，可以恢复队伍的生命和状态,Uses healing abilities to recover HP and increase survivability
descrip_humility,善于运用嘲讽技能，主要为队伍承担伤害,Provokes enemies and absorbs large amounts of enemy damage
miaoshu_bossamute01,面具下隐藏着弱点,Find what underlies the mask.
wpName24,脸,Face
wpName25,胸,Body
wpName26,面具,Mask
wpName33,胸,Body
wpName34,头,Head
wpName35,胸,Body
wpName36,根部,Root
wpName37,胸,Body
wpName38,左腕带,Left Cuff
wpName39,右腕带,Right Cuff
wpName40,胸,Body
wpName41,右半身,Right Body
wpName42,左半身,Left Body
wpName43,头,Head
wpName44,胸,Body
wpName45,花瓣,Flower
wpName46,胸,Body
wpName47,锤子,Weapon
wpName48,胸,Body
wpName49,喇叭,Trumpet
wpName50,胸,Body
wpName51,角,Horn
wpName52,球,Ball
wpName53,胸,Body
wpName54,手,Hand
wpName55,爪,Weapon
wpName56,胸,Body
wpName57,玫瑰,Rose
wpName58,胸,Body
wpName59,宝箱,Box
wpName60,右脚,Right Leg
wpName61,乌鸦,Bird
wpName62,胸,Body
wpName63,头,Head
wpName64,镰刀,Weapon
wpName65,胸,Body
wpName66,头,Head
wpName67,球,Ball
wpName68,胸,Body
wpName69,头顶,Skull
wpName70,围巾,Scarf
xiaochou4hide_head,猜猜我在哪,Find me
mantuoluo2hide_root,猜猜我在哪,Find me
langren3hide_lcuff,猜猜我在哪,Find me
