#NUM,TEXT,NUM,TEXT,TEXT,TEXT
id,picture,location,background,tips,asset
id,展示内容,坐标组编号,背景,提示文字,展示内容资源
1,bingxuenvwanglan,0,loading_ditu_lan,loading_bingxuenvwanglan,loading_bingxuenvwanglan
2,jiuweihu,1,tongyong_bg_1,loading_jiuweihu,loading_jiuweihu
3,changehei,2,loading_ditu_hei,loading_changehei,loading_changehei
4,changebai,3,loading_ditu_bai,loading_changebai,loading_changebai
5,datiangouhong,4,loading_ditu_hong,loading_datiangouhong,loading_datiangouhong
6,mijialebai,5,loading_ditu_bai,loading_mijialebai,loading_mijialebai
7,mijialehong,6,loading_ditu_hong,loading_mijialehong,loading_mijialehong
8,weitianshibai,7,loading_ditu_bai,loading_weitianshibai,loading_weitianshibai
9,weitianshihei,8,loading_ditu_hei,loading_weitianshihei,loading_weitianshihei
10,yifulitehei,9,loading_ditu_hei,loading_yifulitehei,loading_yifulitehei
11,dujiaoshouhei,10,loading_ditu_hei,loading_dujiaoshouhei,loading_dujiaoshouhei
12,hongniuhong,11,loading_ditu_hong,loading_hongniuhong,loading_hongniuhong
13,shilian,12,loading_ditu_ta,tower_instance_title,loading_shilian
14,tongtiantai,13,loading_ditu_ta,towerBoss_instance_title,loading_tongtiantai
15,xinyang,14,loading_ditu_ta,xinyang_instance_title,loading_xinyangzhishu
