#NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,FOLAT,FOLAT,TEXT
id,level,battleSet,rarity,battle,buff,battlecoef,battlereward,starcoefB,starcoefK,starreward
#,等级上限,阵容ID列表,稀有度,阵容（1_T 2_S 3_D 4_H）,场景buff,关卡系数列表,奖励列表,关卡系数列表,关卡系数列表,奖励列表
1,19,"1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1,23_1,24_1,25_1,26_1,27_1,28_1,-1_56",0_0_1_1_1,1_3_3_3_4,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.41_0.42_0.43_0.44_0.45_0.5_0.52_0.54_0.56,20xinyang1_20xinyang2_20xinyang3_20xinyang4_20xinyang5_20xinyang6_20xinyang7_20xinyang8_20xinyang9,0.78,0.05,20star1_20star2_20star3_20star4_20star5
2,24,"29_1,-1_20",1_1_1_1_1,1_3_3_3_4,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.45_0.46_0.47_0.48_0.49_0.5_0.54_0.58_0.60,25xinyang1_25xinyang2_25xinyang3_25xinyang4_25xinyang5_25xinyang6_25xinyang7_25xinyang8_25xinyang9,0.8,0.05,25star1_25star2_25star3_25star4_25star5
3,29,"30_1,31_1,32_1,33_1,34_1,-1_40",1_1_1_1_2,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.52_0.54_0.56_0.58_0.6_0.64_0.68_0.7,30xinyang1_30xinyang2_30xinyang3_30xinyang4_30xinyang5_30xinyang6_30xinyang7_30xinyang8_30xinyang9,0.82,0.05,30star1_30star2_30star3_30star4_30star5
4,34,"35_1,36_1,37_1,38_1,39_1,40_1,41_1,42_1,43_1,-1_9",1_1_1_2_2,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.52_0.54_0.56_0.58_0.6_0.64_0.68_0.7,35xinyang1_35xinyang2_35xinyang3_35xinyang4_35xinyang5_35xinyang6_35xinyang7_35xinyang8_35xinyang9,0.84,0.05,35star1_35star2_35star3_35star4_35star5
5,39,"29_1,-1_1",1_2_2_2_3,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.55_0.6_0.6_0.6_0.65_0.65_0.7_0.8,40xinyang1_40xinyang2_40xinyang3_40xinyang4_40xinyang5_40xinyang6_40xinyang7_40xinyang8_40xinyang9,0.86,0.05,40star1_40star2_40star3_40star4_40star5
6,44,"29_1,-1_1",2_2_2_3_3,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.55_0.6_0.6_0.6_0.65_0.65_0.7_0.8,45xinyang1_45xinyang2_45xinyang3_45xinyang4_45xinyang5_45xinyang6_45xinyang7_45xinyang8_45xinyang9,0.88,0.05,45star1_45star2_45star3_45star4_45star5
7,49,"29_1,-1_1",2_2_3_3_3,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.55_0.6_0.6_0.6_0.65_0.7_0.8_0.9,50xinyang1_50xinyang2_50xinyang3_50xinyang4_50xinyang5_50xinyang6_50xinyang7_50xinyang8_50xinyang9,0.9,0.05,50star1_50star2_50star3_50star4_50star5
8,54,"29_1,-1_1",2_2_3_3_3,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.55_0.6_0.6_0.6_0.65_0.7_0.8_0.9,55xinyang1_55xinyang2_55xinyang3_55xinyang4_55xinyang5_55xinyang6_55xinyang7_55xinyang8_55xinyang9,0.92,0.05,55star1_55star2_55star3_55star4_55star5
9,60,"29_1,-1_1",2_2_3_3_3,1_4_2_3_3,buff1_buff1_0_buff1_0_buff1_0_buff1_0,0.5_0.55_0.6_0.6_0.6_0.65_0.7_0.8_0.9,60xinyang1_60xinyang2_60xinyang3_60xinyang4_60xinyang5_60xinyang6_60xinyang7_60xinyang8_60xinyang9,0.94,0.05,60star1_60star2_60star3_60star4_60star5
