#NUM,TEXT
id,monsterlist
#阵容ID,怪物列表
1,xgLangren3_xgWushi3_xgMoguguai4_xgMoguguai3_xgMantuoluo2
2,xgLangren3_xgXiaochou4_xgMoguguai4_xgMoguguai3_xgLonggongtongzi3
3,xgXiyiren2_xgXiaochou3_xgMoguguai4_xgMoguguai3_xgMantuoluo2
4,xgXiyiren2_xgHuapo2_xgMoguguai4_xgMoguguai3_xgLonggongtongzi3
5,xgCike4_xgHetong2_xgMoguguai4_xgMoguguai3_xgMantuoluo2
6,xgCike4_xgPanshen2_xgMoguguai4_xgMoguguai3_xgLonggongtongzi3
7,xgLangren3_xgWendige3_xgMoguguai3_xgWagui3_xgMantuoluo2
8,xgLangren3_xgXiaochou4_xgMoguguai3_xgHetong2_xgMantuoluo2
9,xgLangren3_xgWagui3_xgMoguguai3_xgXiaochou2_xgLonggongtongzi3
10,xgLangren3_xgPanshen2_xgMoguguai3_xgHuapo2_xgLonggongtongzi3
11,xgLangren3_xgPanshen2_xgMoguguai4_xgXiaochou3_xgMantuoluo2
12,xgLangren3_xgWendige3_xgMoguguai4_xgSaibulesi4_xgMantuoluo2
13,xgLangren3_xgXiaochou4_xgMoguguai4_xgWendige2_xgLonggongtongzi3
14,xgLangren3_xgWagui3_xgMoguguai4_xgWendige3_xgLonggongtongzi3
15,xgXiyiren2_xgPanshen2_xgMoguguai3_xgWagui3_xgMantuoluo2
16,xgXiyiren2_xgXiyiren4_xgMoguguai3_xgHetong2_xgMantuoluo2
17,xgXiyiren2_xgXiyiren4_xgMoguguai3_xgXiaochou2_xgLonggongtongzi3
18,xgXiyiren2_xgXiyiren4_xgMoguguai3_xgHuapo2_xgLonggongtongzi3
19,xgXiyiren2_xgXiyiren4_xgMoguguai4_xgXiaochou3_xgMantuoluo2
20,xgXiyiren2_xgXiyiren4_xgMoguguai4_xgSaibulesi4_xgMantuoluo2
21,xgXiyiren2_xgHuapo2_xgMoguguai4_xgWendige2_xgLonggongtongzi3
22,xgXiyiren2_xgHetong2_xgMoguguai4_xgWendige3_xgLonggongtongzi3
23,xgLangren3_xgXiyiren2_xgXiyiren4_xgWushi3_xgPanshen2
24,xgLangren3_xgXiyiren2_xgXiyiren4_xgXiaochou4_xgWendige3
25,xgLangren3_xgXiyiren2_xgXiyiren4_xgXiaochou3_xgXiaochou4
26,xgLangren3_xgXiyiren2_xgXiyiren4_xgHuapo2_xgWagui3
27,xgLangren3_xgXiyiren2_xgXiyiren4_xgHetong2_xgPanshen2
28,xgLangren3_xgXiyiren2_xgXiyiren4_xgMoguguai4_xgMoguguai3
29,xgPiying5_xgPiying1_xgXiaochou2_xgXiaochou3_xgXiaochou4
30,xgAmute3_xgMoguguai3_xgWushi3_xgWendige3_xgLonggongtongzi3
31,xgKahuna2_xgXiyiren2_xgPanshen2_xgHetong2_xgMantuoluo2
32,xgCike4_xgMoguguai4_xgSaibulesi4_xgXiaochou4_xgMomo1
33,xgKahuna2_xgWendige2_xgPiying1_xgLuoxinfu1_xgMomo1
34,xgAmute3_xgMengyan5_xgSaibulesi5_xgPiying5_xgLonggongtongzi3
35,xgAmute3_xgKahuna2_xgCike4_xgMantuoluo2_xgLonggongtongzi3
36,xgNvyao5_xgSheshouzuo1_xgDaochengsizhong4_xgPanshen2_xgWagui3
