#NUM,NUM,NUM,NUM
level,exp,fatigue,fatigueReward
#角色等级,升到下一级所需经验,体力上限,升到本级体力获得
1,18,50,15
2,37,51,15
3,55,52,15
4,92,53,15
5,129,54,15
6,166,55,15
7,221,56,15
8,276,57,15
9,331,58,15
10,405,59,15
11,478,60,15
12,552,61,15
13,644,62,15
14,736,63,15
15,828,64,15
16,943,65,15
17,1058,66,15
18,1173,67,15
19,1288,68,15
20,1342,69,15
21,1474,70,15
22,1606,71,15
23,1738,72,15
24,1870,73,15
25,2002,74,15
26,2156,75,15
27,2310,76,15
28,2464,77,15
29,2618,78,15
30,3150,79,15
31,3363,80,15
32,3575,81,15
33,3788,82,15
34,4000,83,15
35,4213,84,15
36,4463,85,15
37,4713,86,15
38,4963,87,15
39,5213,88,15
40,5713,89,15
41,6338,90,15
42,7088,91,15
43,7963,92,15
44,8963,93,15
45,10088,94,15
46,11463,95,15
47,13088,96,15
48,14963,97,15
49,17088,98,15
50,19463,99,15
51,21213,100,15
52,23088,101,15
53,25088,102,15
54,27213,103,15
55,29463,104,15
56,31838,105,15
57,34213,106,15
58,36588,107,15
59,38963,108,15
60,6000,150,15
61,6100,150,0
62,6200,150,0
63,6300,150,0
64,6400,150,0
65,6500,150,0
66,6600,150,0
67,6700,150,0
68,6800,150,0
69,6900,150,0
70,7000,150,0
71,7100,150,0
72,7200,150,0
73,7300,150,0
74,7400,150,0
75,7500,150,0
76,7600,150,0
77,7700,150,0
78,7800,150,0
79,7900,150,0
80,8000,150,0
81,8100,150,0
82,8200,150,0
83,8300,150,0
84,8400,150,0
85,8500,150,0
86,8600,150,0
87,8700,150,0
88,8800,150,0
89,8900,150,0
90,9000,150,0
91,9100,150,0
92,9200,150,0
93,9300,150,0
94,9400,150,0
95,9500,150,0
96,9600,150,0
97,9700,150,0
98,9800,150,0
99,9900,150,0
