#NUM,NUM,NUM,TEXT,TEXT
id,level,rank,reward1,reward2
#id,玩家等级,排名,奖励,界面显示奖励
1,30,1,pvp_rankrewardshiji1_1,pvp_rankrewardxianshi1
2,50,1,pvp_rankrewardshiji1_2,pvp_rankrewardxianshi1
3,99,1,pvp_rankrewardshiji1_3,pvp_rankrewardxianshi1
4,30,2,pvp_rankrewardshiji2_1,pvp_rankrewardxianshi1
5,50,2,pvp_rankrewardshiji2_2,pvp_rankrewardxianshi1
6,99,2,pvp_rankrewardshiji2_3,pvp_rankrewardxianshi1
7,30,3,pvp_rankrewardshiji3_1,pvp_rankrewardxianshi2
8,50,3,pvp_rankrewardshiji3_2,pvp_rankrewardxianshi2
9,99,3,pvp_rankrewardshiji3_3,pvp_rankrewardxianshi2
10,30,10,pvp_rankrewardshiji4_1,pvp_rankrewardxianshi2
11,50,10,pvp_rankrewardshiji4_2,pvp_rankrewardxianshi2
12,99,10,pvp_rankrewardshiji4_3,pvp_rankrewardxianshi2
13,30,50,pvp_rankrewardshiji5_1,pvp_rankrewardxianshi3
14,50,50,pvp_rankrewardshiji5_2,pvp_rankrewardxianshi3
15,99,50,pvp_rankrewardshiji5_3,pvp_rankrewardxianshi3
16,30,100,pvp_rankrewardshiji6_1,pvp_rankrewardxianshi3
17,50,100,pvp_rankrewardshiji6_2,pvp_rankrewardxianshi3
18,99,100,pvp_rankrewardshiji6_3,pvp_rankrewardxianshi3
