#TEXT,TEXT
id,rewardGroup
#id,奖励列表：ItemType_ItemId_Count_(Stage_(Level))_Weight
1101,"3_10016_1_20,0_0_0_600"
1102,"3_10016_1_40,0_0_0_600"
1103,"3_10016_1_40,0_0_0_200"
1104,"3_10016_1_40,0_0_0_100"
1105,"3_10017_1_40,0_0_0_600"
1106,"3_10017_1_40,0_0_0_600"
1107,"3_10017_1_40,0_0_0_200"
1108,"3_10017_1_40,0_0_0_100"
1109,"3_10016_1_60,0_0_0_40"
1110,"3_10016_1_60,0_0_0_40"
1111,"3_10016_2_10,3_10016_1_60,0_0_0_40"
1112,"3_10016_2_10,3_10016_1_60,0_0_0_40"
1113,"3_10017_2_20,3_10017_1_60,0_0_0_40"
1114,"3_10017_2_20,3_10017_1_60,0_0_0_40"
1115,"3_10017_2_20,3_10017_1_60,0_0_0_40"
1116,"3_10017_2_20,3_10017_1_60,0_0_0_40"
1117,"3_10016_1_60,0_0_0_20,3_10016_2_130"
1118,"3_10016_1_60,0_0_0_20,3_10016_2_130"
1119,"3_10016_1_60,0_0_0_20,3_10016_2_130"
1120,"3_10016_1_60,3_10016_2_20,0_0_0_65"
1121,"3_10017_2_20,3_10017_1_160,0_0_0_130"
1122,"3_10017_2_20,3_10017_1_160,0_0_0_130"
1123,"3_10017_2_20,3_10017_1_160,0_0_0_130"
1124,"3_10017_2_20,3_10017_1_160,0_0_0_65"
1125,"3_10016_3_10,3_10016_2_60,3_10016_1_160,0_0_0_100"
1126,"3_10016_3_10,3_10016_2_60,3_10016_1_160,0_0_0_100"
1127,"3_10016_3_10,3_10016_2_60,3_10016_1_160,0_0_0_100"
1128,"3_10016_3_10,3_10016_2_60,3_10016_1_160,0_0_0_50"
1129,"3_10017_2_40,3_10017_1_60,0_0_0_10"
1130,"3_10017_2_40,3_10017_1_60,0_0_0_10"
1131,"3_10017_2_40,3_10017_1_60,0_0_0_10"
1132,"3_10017_2_40,3_10017_1_60,0_0_0_10"
