#TEXT,TEXT,TEXT
id,sellFixed,sellRandom
#id,固定装备列表: ItemType_ItemId_Count_(Stage_Level)_Price_Discount,随机装备列表
1001,,1001_1004_1005_1006_1007_1008_1011_1014_1014_1017
1002,,1002_1004_1005_1006_1007_1009_1012_1014_1015_1018
1003,,1003_1004_1005_1006_1007_1010_1013_1014_1016_1019
1004,"3_20047_5_3_72_1.0,3_20034_5_3_70_1.0,3_20026_5_3_50_1.0",1020_1021_1022_1023_1024_1025_1028
1005,"3_20047_5_3_72_1.0,3_20034_5_3_70_1.0,3_20026_5_3_50_1.0",1020_1021_1022_1023_1024_1026_1029
1006,"3_20047_5_3_72_1.0,3_20034_5_3_70_1.0,3_20026_5_3_50_1.0",1020_1021_1022_1023_1024_1027_1030
1007,"3_20049_5_3_23_1.0,3_20036_5_3_18_1.0,3_20015_5_3_14_1.0",1031_1032_1033_1034_1035_1038_1041
1008,"3_20049_5_3_23_1.0,3_20036_5_3_18_1.0,3_20015_5_3_14_1.0",1031_1032_1033_1034_1036_1039_1041
1009,"3_20049_5_3_23_1.0,3_20036_5_3_18_1.0,3_20015_5_3_14_1.0",1031_1032_1033_1034_1037_1040_1041
1010,3_10007_3_1_20_1.0,1042_1042_1042_1042_1042_1043_1043_1044_1044
1011,3_10007_3_1_20_1.0,1042_1042_1042_1042_1042_1043_1043_1045_1045
1012,3_10007_3_1_20_1.0,1042_1042_1042_1042_1042_1043_1043_1046_1046
