#NUM,NUM
level,coin
#技能等级,消耗金币
2,100
3,200
4,300
5,400
6,500
7,600
8,700
9,800
10,900
11,1000
12,2100
13,2300
14,2500
15,2700
16,2900
17,3100
18,3300
19,3500
20,3700
21,3900
22,5100
23,5400
24,5700
25,6000
26,6300
27,6600
28,6900
29,7200
30,7500
31,7800
32,10100
33,10500
34,10900
35,11300
36,11700
37,12100
38,12500
39,12900
40,13300
41,13700
42,14100
43,14500
44,14900
45,15300
46,15700
47,16100
48,16500
49,16900
51,17300
52,17700
53,18100
54,18500
55,19000
56,19500
57,20000
58,20500
59,21000
60,21500
61,1260
62,1280
63,1300
64,1320
65,1340
66,1360
67,1380
68,1400
69,1420
70,1440
71,1460
72,1480
73,1500
74,1520
75,1540
76,1560
77,1580
78,1600
79,1620
80,1640
81,1660
82,1680
83,1700
84,1720
85,1740
86,1760
87,1780
88,1800
89,1820
90,1840
91,1860
92,1880
93,1900
94,1920
95,1940
96,1960
97,1980
98,2000
99,2020
100,2040
