#NUM,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,TEXT,TEXT
id,type,level,sociatyLevel,levelUp,gainPeople,gainCoin,gainExp,icon,tecDescript,tecName
#id,科技类型,本科技等级,公会等级,升级消耗,本级公会最大人数,本级金钱试炼获得的增益百分比,本级经验试炼获得的item,工会科技图标,科技描述,科技名称
1,1,1,-1,0,-1,0,,icon_gonghuikeji_dengji,sociaty_leveltips,sociaty_levelname
2,1,2,-1,12000,-1,0,,icon_gonghuikeji_dengji,sociaty_leveltips,sociaty_levelname
3,1,3,-1,30000,-1,0,,icon_gonghuikeji_dengji,sociaty_leveltips,sociaty_levelname
4,1,4,-1,108000,-1,0,,icon_gonghuikeji_dengji,sociaty_leveltips,sociaty_levelname
5,1,5,-1,302400,-1,0,,icon_gonghuikeji_dengji,sociaty_leveltips,sociaty_levelname
6,2,1,1,0,20,0,,icon_gonghuikeji_chengyuan,sociaty_peopletips,sociaty_peoplenum2
7,2,2,2,8000,25,0,,icon_gonghuikeji_chengyuan,sociaty_peopletips,sociaty_peoplenum2
8,2,3,3,20000,30,0,,icon_gonghuikeji_chengyuan,sociaty_peopletips,sociaty_peoplenum2
9,2,4,4,72000,35,0,,icon_gonghuikeji_chengyuan,sociaty_peopletips,sociaty_peoplenum2
10,2,5,5,201600,40,0,,icon_gonghuikeji_chengyuan,sociaty_peopletips,sociaty_peoplenum2
11,3,1,1,4000,-1,0.02,,icon_gonghuikeji_jingbi,sociaty_cointips,sociaty_coinup
12,3,2,2,12000,-1,0.04,,icon_gonghuikeji_jingbi,sociaty_cointips,sociaty_coinup
13,3,3,3,25000,-1,0.06,,icon_gonghuikeji_jingbi,sociaty_cointips,sociaty_coinup
14,3,4,4,60000,-1,0.08,,icon_gonghuikeji_jingbi,sociaty_cointips,sociaty_coinup
15,3,5,5,140000,-1,0.1,,icon_gonghuikeji_jingbi,sociaty_cointips,sociaty_coinup
16,4,1,1,4000,-1,0,3_50002_2,icon_gonghuikeji_jingyan,sociaty_exptips,sociaty_expup
17,4,2,2,12000,-1,0,3_50002_4,icon_gonghuikeji_jingyan,sociaty_exptips,sociaty_expup
18,4,3,3,25000,-1,0,3_50003_1,icon_gonghuikeji_jingyan,sociaty_exptips,sociaty_expup
19,4,4,4,60000,-1,0,3_50003_2,icon_gonghuikeji_jingyan,sociaty_exptips,sociaty_expup
20,4,5,5,140000,-1,0,3_50003_3,icon_gonghuikeji_jingyan,sociaty_exptips,sociaty_expup
