#TEXT,TEXT
id,sound
资源id,资源名
BGM_loading,Item_Type03
SE_UI_quest,SE_UI_quest.wav
test,stab
bg_yueguangsenlin11,bg_yueguangsenlin11
bg_yueguangsenlin12,bg_yueguangsenlin11
bg_yueguangsenlin14,bg_yueguangsenlin11
bg_yueguangsenlin17,bg_yueguangsenlin11
bg_yueguangsenlin18,bg_yueguangsenlin18
bg_minghe12,bg_yueguangsenlin11
bg_minghe13,bg_yueguangsenlin11
bg_minghe14,bg_yueguangsenlin11
bg_minghe17,bg_yueguangsenlin11
bg_minghe18,bg_minghe18
Instancenormal,Instancenormal
instance4,instance4
instance8,instance8
pvpmusic,pvpmusic
shilianexp,shilianexp
shiliangold,shiliangold
tongtianta5,tongtianta5
tongtiantanormal,tongtiantanormal
levelup,Uplevel
ConfirmNormal,Confirmnormal
ConfirmCancel,ConfirmCancel
ConfirmWeak,Confirmweak
CongratWindow,CongratWindow
ConfirmCash,ConfirmCash
Starsound,Starsound
Confirm3DUI,Confirm3DUI
ConfirmFail,ConfirmFail
ConfirmOpen,ConfirmOpen
CongratIM,CongratIM
Missioncomplete,Missioncomplete
Pageturn,Pageturn
RollingNormal,RollingNormal
TabNormal,TabNormal
TipsOpen,TipsOpen
Normalcash,Normalcash
guild_send,guild_send
pet_hecheng,pet_hecheng
