#NUM,TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,TEXT,NUM,NUM,TEXT,TEXT,TEXT,TEXT
id,textId,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust,icon,name,tips,baseTipValue,isAoe,firstSpell,tipsDescription,tipsCurlvl,tipsNextlvl
#id,字符id,rootEffectID,????????,???????,energyCost,energyGenerate,category,levelAdjust,???,name,tips,1???tips??????,?ж???????,???ü???,tipsDescription,tipsCurlvl,tipsNextlvl
1,lazy,,0,0,0,0,7,0,,,,0,0,,,,
2,defend,defende1,0,0,0,50,3,0,,defendName,,0,0,,,,
3,attackMetalCutSlight,attackMetalCutSlighte1,0,0,0,35,0,0.01,icon_attackMetalSlight,attackMetalCutSlightName,attackMetalCutSlightTips,1.3,0,,attackMetalCutSlightDescription,attackMetalCutSlightCurlvl,attackMetalCutSlightNextlvl
4,attackMetalCutMedium,attackMetalCutMediume1,0,0,0,35,0,0.01,icon_attackMetalMedium,attackMetalCutMediumName,attackMetalCutMediumTips,1.5,0,,attackMetalCutMediumDescription,attackMetalCutMediumCurlvl,attackMetalCutMediumNextlvl
5,attackMetalCutStrong,attackMetalCutStronge1,0,0,0,35,0,0.01,icon_attackMetalStrong,attackMetalCutStrongName,attackMetalCutStrongTips,1.8,0,,attackMetalCutStrongDescription,attackMetalCutStrongCurlvl,attackMetalCutStrongNextlvl
6,attackPlantCutSlight,attackPlantCutSlighte1,0,0,0,35,0,0.01,icon_attackPlantSlight,attackPlantCutSlightName,attackPlantCutSlightTips,1.3,0,,attackPlantCutSlightDescription,attackPlantCutSlightCurlvl,attackPlantCutSlightNextlvl
7,attackPlantCutMedium,attackPlantCutMediume1,0,0,0,35,0,0.01,icon_attackPlantMedium,attackPlantCutMediumName,attackPlantCutMediumTips,1.5,0,,attackPlantCutMediumDescription,attackPlantCutMediumCurlvl,attackPlantCutMediumNextlvl
8,attackPlantCutStrong,attackPlantCutStronge1,0,0,0,35,0,0.01,icon_attackPlantStrong,attackPlantCutStrongName,attackPlantCutStrongTips,1.8,0,,attackPlantCutStrongDescription,attackPlantCutStrongCurlvl,attackPlantCutStrongNextlvl
9,attackWaterCutSlight,attackWaterCutSlighte1,0,0,0,35,0,0.01,icon_attackWaterSlight,attackWaterCutSlightName,attackWaterCutSlightTips,1.3,0,,attackWaterCutSlightDescription,attackWaterCutSlightCurlvl,attackWaterCutSlightNextlvl
10,attackWaterCutMedium,attackWaterCutMediume1,0,0,0,35,0,0.01,icon_attackWaterMedium,attackWaterCutMediumName,attackWaterCutMediumTips,1.5,0,,attackWaterCutMediumDescription,attackWaterCutMediumCurlvl,attackWaterCutMediumNextlvl
11,attackWaterCutStrong,attackWaterCutStronge1,0,0,0,35,0,0.01,icon_attackWaterStrong,attackWaterCutStrongName,attackWaterCutStrongTips,1.8,0,,attackWaterCutStrongDescription,attackWaterCutStrongCurlvl,attackWaterCutStrongNextlvl
12,attackFireCutSlight,attackFireCutSlighte1,0,0,0,35,0,0.01,icon_attackFireSlight,attackFireCutSlightName,attackFireCutSlightTips,1.3,0,,attackFireCutSlightDescription,attackFireCutSlightCurlvl,attackFireCutSlightNextlvl
13,attackFireCutMedium,attackFireCutMediume1,0,0,0,35,0,0.01,icon_attackFireMedium,attackFireCutMediumName,attackFireCutMediumTips,1.5,0,,attackFireCutMediumDescription,attackFireCutMediumCurlvl,attackFireCutMediumNextlvl
14,attackFireCutStrong,attackFireCutStronge1,0,0,0,35,0,0.01,icon_attackFireStrong,attackFireCutStrongName,attackFireCutStrongTips,1.8,0,,attackFireCutStrongDescription,attackFireCutStrongCurlvl,attackFireCutStrongNextlvl
15,attackEarthCutSlight,attackEarthCutSlighte1,0,0,0,35,0,0.01,icon_attackEarthSlight,attackEarthCutSlightName,attackEarthCutSlightTips,1.3,0,,attackEarthCutSlightDescription,attackEarthCutSlightCurlvl,attackEarthCutSlightNextlvl
16,attackEarthCutMedium,attackEarthCutMediume1,0,0,0,35,0,0.01,icon_attackEarthMedium,attackEarthCutMediumName,attackEarthCutMediumTips,1.5,0,,attackEarthCutMediumDescription,attackEarthCutMediumCurlvl,attackEarthCutMediumNextlvl
17,attackEarthCutStrong,attackEarthCutStronge1,0,0,0,35,0,0.01,icon_attackEarthStrong,attackEarthCutStrongName,attackEarthCutStrongTips,1.8,0,,attackEarthCutStrongDescription,attackEarthCutStrongCurlvl,attackEarthCutStrongNextlvl
18,attackMetalStabSlight,attackMetalStabSlighte1,0,0,0,35,0,0.01,icon_attackMetalSlight,attackMetalStabSlightName,attackMetalStabSlightTips,1.3,0,,attackMetalStabSlightDescription,attackMetalStabSlightCurlvl,attackMetalStabSlightNextlvl
19,attackMetalStabMedium,attackMetalStabMediume1,0,0,0,35,0,0.01,icon_attackMetalMedium,attackMetalStabMediumName,attackMetalStabMediumTips,1.5,0,,attackMetalStabMediumDescription,attackMetalStabMediumCurlvl,attackMetalStabMediumNextlvl
20,attackMetalStabStrong,attackMetalStabStronge1,0,0,0,35,0,0.01,icon_attackMetalStrong,attackMetalStabStrongName,attackMetalStabStrongTips,1.8,0,,attackMetalStabStrongDescription,attackMetalStabStrongCurlvl,attackMetalStabStrongNextlvl
