#NUM,TEXT,NUM,NUM,TEXT,TEXT,TEXT
id,recharge,type,group,reward,rewardGuarantee,rewardBlack
#id,充值钻石段,类型(金币=1，钻石=2，免费金币=3，免费钻石=4),玩家组,普通奖励id,保底奖励id,脸黑奖励id
1,0_100,1,-1,jinbi,jinbi,jinbi
2,101_500,1,-1,jinbi,jinbi,jinbi
3,501_2000,1,-1,jinbi,jinbi,jinbi
4,2001_5000,1,-1,jinbi,jinbi,jinbi
5,5001_999999999,1,-1,jinbi,jinbi,jinbi
6,0_100,3,-1,jinbi,jinbi,jinbi
7,101_500,3,-1,jinbi,jinbi,jinbi
8,501_2000,3,-1,jinbi,jinbi,jinbi
9,2001_5000,3,-1,jinbi,jinbi,jinbi
10,5001_999999999,3,-1,jinbi,jinbi,jinbi
11,0_100,2,0,100zuanshi0,100zuanshibaodi0,zuanshiblack
12,101_500,2,0,500zuanshi0,500zuanshibaodi0,zuanshiblack
13,501_2000,2,0,2000zuanshi0,2000zuanshibaodi0,zuanshiblack
14,2001_5000,2,0,5000zuanshi0,5000zuanshibaodi0,zuanshiblack
15,5001_999999999,2,0,999999999zuanshi0,999999999zuanshibaodi0,zuanshiblack
16,0_100,2,1,100zuanshi1,100zuanshibaodi1,zuanshiblack
17,101_500,2,1,500zuanshi1,500zuanshibaodi1,zuanshiblack
18,501_2000,2,1,2000zuanshi1,2000zuanshibaodi1,zuanshiblack
19,2001_5000,2,1,5000zuanshi1,5000zuanshibaodi1,zuanshiblack
20,5001_999999999,2,1,999999999zuanshi1,999999999zuanshibaodi1,zuanshiblack
21,0_100,2,2,100zuanshi2,100zuanshibaodi2,zuanshiblack
22,101_500,2,2,500zuanshi2,500zuanshibaodi2,zuanshiblack
23,501_2000,2,2,2000zuanshi2,2000zuanshibaodi2,zuanshiblack
24,2001_5000,2,2,5000zuanshi2,5000zuanshibaodi2,zuanshiblack
25,5001_999999999,2,2,999999999zuanshi2,999999999zuanshibaodi2,zuanshiblack
26,0_100,2,3,100zuanshi3,100zuanshibaodi3,zuanshiblack
27,101_500,2,3,500zuanshi3,500zuanshibaodi3,zuanshiblack
28,501_2000,2,3,2000zuanshi3,2000zuanshibaodi3,zuanshiblack
29,2001_5000,2,3,5000zuanshi3,5000zuanshibaodi3,zuanshiblack
30,5001_999999999,2,3,999999999zuanshi3,999999999zuanshibaodi3,zuanshiblack
31,0_100,2,4,100zuanshi4,100zuanshibaodi4,zuanshiblack
32,101_500,2,4,500zuanshi4,500zuanshibaodi4,zuanshiblack
33,501_2000,2,4,2000zuanshi4,2000zuanshibaodi4,zuanshiblack
34,2001_5000,2,4,5000zuanshi4,5000zuanshibaodi4,zuanshiblack
35,5001_999999999,2,4,999999999zuanshi4,999999999zuanshibaodi4,zuanshiblack
36,0_100,2,5,100zuanshi5,100zuanshibaodi5,zuanshiblack
37,101_500,2,5,500zuanshi5,500zuanshibaodi5,zuanshiblack
38,501_2000,2,5,2000zuanshi5,2000zuanshibaodi5,zuanshiblack
39,2001_5000,2,5,5000zuanshi5,5000zuanshibaodi5,zuanshiblack
40,5001_999999999,2,5,999999999zuanshi5,999999999zuanshibaodi5,zuanshiblack
41,0_100,4,0,100zuanshi0,100zuanshibaodi0,zuanshiblack
42,101_500,4,0,500zuanshi0,500zuanshibaodi0,zuanshiblack
43,501_2000,4,0,2000zuanshi0,2000zuanshibaodi0,zuanshiblack
44,2001_5000,4,0,5000zuanshi0,5000zuanshibaodi0,zuanshiblack
45,5001_999999999,4,0,999999999zuanshi0,999999999zuanshibaodi0,zuanshiblack
46,0_100,4,1,100zuanshi1,100zuanshibaodi1,zuanshiblack
47,101_500,4,1,500zuanshi1,500zuanshibaodi1,zuanshiblack
48,501_2000,4,1,2000zuanshi1,2000zuanshibaodi1,zuanshiblack
49,2001_5000,4,1,5000zuanshi1,5000zuanshibaodi1,zuanshiblack
50,5001_999999999,4,1,999999999zuanshi1,999999999zuanshibaodi1,zuanshiblack
51,0_100,4,2,100zuanshi2,100zuanshibaodi2,zuanshiblack
52,101_500,4,2,500zuanshi2,500zuanshibaodi2,zuanshiblack
53,501_2000,4,2,2000zuanshi2,2000zuanshibaodi2,zuanshiblack
54,2001_5000,4,2,5000zuanshi2,5000zuanshibaodi2,zuanshiblack
55,5001_999999999,4,2,999999999zuanshi2,999999999zuanshibaodi2,zuanshiblack
56,0_100,4,3,100zuanshi3,100zuanshibaodi3,zuanshiblack
57,101_500,4,3,500zuanshi3,500zuanshibaodi3,zuanshiblack
58,501_2000,4,3,2000zuanshi3,2000zuanshibaodi3,zuanshiblack
59,2001_5000,4,3,5000zuanshi3,5000zuanshibaodi3,zuanshiblack
60,5001_999999999,4,3,999999999zuanshi3,999999999zuanshibaodi3,zuanshiblack
61,0_100,4,4,100zuanshi4,100zuanshibaodi4,zuanshiblack
62,101_500,4,4,500zuanshi4,500zuanshibaodi4,zuanshiblack
63,501_2000,4,4,2000zuanshi4,2000zuanshibaodi4,zuanshiblack
64,2001_5000,4,4,5000zuanshi4,5000zuanshibaodi4,zuanshiblack
65,5001_999999999,4,4,999999999zuanshi4,999999999zuanshibaodi4,zuanshiblack
66,0_100,4,5,100zuanshi5,100zuanshibaodi5,zuanshiblack
67,101_500,4,5,500zuanshi5,500zuanshibaodi5,zuanshiblack
68,501_2000,4,5,2000zuanshi5,2000zuanshibaodi5,zuanshiblack
69,2001_5000,4,5,5000zuanshi5,5000zuanshibaodi5,zuanshiblack
70,5001_999999999,4,5,999999999zuanshi5,999999999zuanshibaodi5,zuanshiblack
