#NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,TEXT
type,minute,hour,dayOfWeek,dayOfWeekInMonth,dayOfMonth,month,year,comments
#类型,每小时几分（0-59）,每天几点（0-23）,每周几（周一填1）,每月第几个星期X（1-7号填1，以此类推）,每月几号（1号填1）,每年几月（1月填1）,年,注释：不能同时配[dayOfMonth]和[dayOfWeek、dayOfWeekInMonth]
101,0,0,-1,-1,-1,-1,-1,每天0点：每日服务器刷新
102,0,0,-1,-1,1,-1,-1,每月1号0点：通天塔刷新
103,0,0,1,-1,-1,-1,-1,每周一0点：时光洞经验周1开始；时光洞经验/金币周7结束
104,0,0,2,-1,-1,-1,-1,每周二0点：时光洞经验周1结束；时光洞金币周2开始
105,0,0,3,-1,-1,-1,-1,每周三0点：时光洞经验周3开始；时光洞金币周2结束
106,0,0,4,-1,-1,-1,-1,每周四0点：时光洞经验周3结束；时光洞金币周4开始
107,0,0,5,-1,-1,-1,-1,每周五0点：时光洞经验周5开始；时光洞金币周4结束
108,0,0,6,-1,-1,-1,-1,每周六0点：时光洞经验周5结束；时光洞金币周6开始
109,0,0,7,-1,-1,-1,-1,每周日0点：时光洞经验/金币周7开始；时光洞金币周6结束
110,0,3,1,-1,-1,-1,-1,每周一4点：PVP段位奖励
201,0,5,-1,-1,-1,-1,-1,：每日商店第1次刷新
202,0,13,-1,-1,-1,-1,-1,：每日商店第2次刷新
203,0,19,-1,-1,-1,-1,-1,：每日商店第3次刷新
301,0,12,-1,-1,-1,-1,-1,免费午餐开始
302,0,14,-1,-1,-1,-1,-1,免费午餐结束
303,0,18,-1,-1,-1,-1,-1,免费晚饭开始
304,0,20,-1,-1,-1,-1,-1,免费晚饭结束
305,0,21,-1,-1,-1,-1,-1,免费宵夜开始
306,0,23,-1,-1,-1,-1,-1,免费宵夜结束
401,0,0,-1,-1,21,6,2016,礼包开启
402,0,0,-1,-1,12,7,2016,礼包结束
403,0,0,-1,-1,22,6,2016,活动开启
404,0,0,-1,-1,6,7,2016,活动结束
405,0,0,-1,-1,7,7,2016,礼包开启
406,0,0,-1,-1,8,8,2016,礼包结束
407,0,0,-1,-1,25,7,2016,礼包周期1开始
408,0,0,-1,-1,31,7,2016,礼包周期1结束
409,0,0,-1,-1,1,8,2016,礼包周期2开始
410,0,0,-1,-1,7,8,2016,礼包周期2结束
