#TEXT,NUM,NUM,NUM,NUM,TEXT,NUM,NUM,TEXT,TEXT,FLOAT,TEXT,NUM,FLOAT,NUM,NUM,TEXT
id,effectType,casterType,targetType,energy,effectList,count,camp,searchEffect,effectStartID,startDelayTime,periodEffectList,damageType,attackFactor,isHeal,damageProperty,buffID
#e1,3,1,0,0,,0,0,,,0,,1,100,0,2,
e1,2,1,0,0,,0,0,,e2,1,,0,0,0,0,
e2,3,1,0,0,,0,0,,,0,,1,1,0,2,
defende1,4,1,1,0,,0,0,,,0,,0,0,0,0,defendb1
attackSlighte1,2,1,0,0,,0,0,,attackSlighte2,1,,0,0,0,0,
attackSlighte2,3,1,0,0,,0,0,,,0,,0,1,0,0,
attackMediume1,2,1,0,0,,0,0,,attackMediume2,1,,0,0,0,0,
attackMediume2,3,1,0,0,,0,0,,,0,,0,1.2,0,0,
attackStronge1,2,1,0,0,,0,0,,attackStronge2,1,,0,0,0,0,
attackStronge2,3,1,0,0,,0,0,,,0,,0,1.4,0,0,
attackTriSlighte1,2,1,0,0,,0,0,,attackTriSlighte2,1,0.15|attackTriSlighte2;0.3|attackTriSlighte2,0,0,0,0,
attackTriSlighte2,3,1,0,0,,0,0,,,0,,0,0.3,0,0,
attackTriMediume1,2,1,0,0,,0,0,,attackTriMediume2,1,0.1|attackTriMediume2;0.2|attackTriMediume2,0,0,0,0,
attackTriMediume2,3,1,0,0,,0,0,,,0,,0,0.35,0,0,
attackTriStronge1,2,1,0,0,,0,0,,attackTriStronge2,1,0.2|attackTriStronge2;0.2|attackTriStronge2,0,0,0,0,
attackTriStronge2,3,1,0,0,,0,0,,,0,,0,0.4,0,0,
attackCutSlighte1,2,1,0,0,,0,0,,attackCutSlighte2,1,,0,0,0,0,
attackCutSlighte2,3,1,0,0,,0,0,,,0,,0,1,0,0,
attackCutMediume1,2,1,0,0,,0,0,,attackCutMediume2,1,,0,0,0,0,
attackCutMediume2,3,1,0,0,,0,0,,,0,,0,1.2,0,0,
attackCutStronge1,2,1,0,0,,0,0,,attackCutStronge2,1,,0,0,0,0,
attackCutStronge2,3,1,0,0,,0,0,,,0,,0,1.4,0,0,
attackCutTriSlighte1,2,1,0,0,,0,0,,attackCutTriSlighte2,1,0.15|attackCutTriSlighte2;0.3|attackCutTriSlighte2,0,0,0,0,
attackCutTriSlighte2,3,1,0,0,,0,0,,,0,,0,0.3,0,0,
attackCutTriMediume1,2,1,0,0,,0,0,,attackCutTriMediume2,1,0.1|attackCutTriMediume2;0.2|attackCutTriMediume2,0,0,0,0,
attackCutTriMediume2,3,1,0,0,,0,0,,,0,,0,0.35,0,0,
attackCutTriStronge1,2,1,0,0,,0,0,,attackCutTriStronge2,1,0.2|attackCutTriStronge2;0.2|attackCutTriStronge2,0,0,0,0,
attackCutTriStronge2,3,1,0,0,,0,0,,,0,,0,0.4,0,0,
attackStabSlighte1,2,1,0,0,,0,0,,attackStabSlighte2,1,,0,0,0,0,
attackStabSlighte2,3,1,0,0,,0,0,,,0,,0,1,0,0,
attackStabMediume1,2,1,0,0,,0,0,,attackStabMediume2,1,,0,0,0,0,
attackStabMediume2,3,1,0,0,,0,0,,,0,,0,1.2,0,0,
attackStabStronge1,2,1,0,0,,0,0,,attackStabStronge2,1,,0,0,0,0,
attackStabStronge2,3,1,0,0,,0,0,,,0,,0,1.4,0,0,
attackStabTriSlighte1,2,1,0,0,,0,0,,attackStabTriSlighte2,1,0.15|attackStabTriSlighte2;0.3|attackStabTriSlighte2,0,0,0,0,
attackStabTriSlighte2,3,1,0,0,,0,0,,,0,,0,0.3,0,0,
attackStabTriMediume1,2,1,0,0,,0,0,,attackStabTriMediume2,1,0.1|attackStabTriMediume2;0.2|attackStabTriMediume2,0,0,0,0,
attackStabTriMediume2,3,1,0,0,,0,0,,,0,,0,0.35,0,0,
attackStabTriStronge1,2,1,0,0,,0,0,,attackStabTriStronge2,1,0.2|attackStabTriStronge2;0.2|attackStabTriStronge2,0,0,0,0,
attackStabTriStronge2,3,1,0,0,,0,0,,,0,,0,0.4,0,0,
attackSmashSlighte1,2,1,0,0,,0,0,,attackSmashSlighte2,1,,0,0,0,0,
attackSmashSlighte2,3,1,0,0,,0,0,,,0,,0,1,0,0,
attackSmashMediume1,2,1,0,0,,0,0,,attackSmashMediume2,1,,0,0,0,0,
attackSmashMediume2,3,1,0,0,,0,0,,,0,,0,1.2,0,0,
attackSmashStronge1,2,1,0,0,,0,0,,attackSmashStronge2,1,,0,0,0,0,
attackSmashStronge2,3,1,0,0,,0,0,,,0,,0,1.4,0,0,
magicMetalSlighte1,3,1,0,0,,0,0,,,0,,1,1,0,1,
magicMetalMediume1,3,1,0,0,,0,0,,,0,,1,1.2,0,1,
magicMetalStronge1,3,1,0,0,,0,0,,,0,,1,1.4,0,1,
magicPlantSlighte1,3,1,0,0,,0,0,,,0,,1,1,0,2,
magicPlantMediume1,3,1,0,0,,0,0,,,0,,1,1.2,0,2,
magicPlantStronge1,3,1,0,0,,0,0,,,0,,1,1.4,0,2,
magicWaterSlighte1,3,1,0,0,,0,0,,,0,,1,1,0,3,
magicWaterMediume1,2,1,0,0,,0,0,,magicWaterMediume2,1.5,,0,0,0,0,
