#NUM,NUM ,NUM,NUM,NUM,TEXT,TEXT
id,stage,level,baseAttrId,rollCount,additionAttr,demand
#id,品级,强化级别,基础属性索引,roll次数,附加属性,消耗列表
70001,1,0,1,0,,
70001,1,1,2,0,,"1_2_100,1_4_100，3_10002_1"
70001,1,2,3,0,,"1_2_100,1_4_100，3_10002_1"
70001,1,3,4,0,,"1_2_100,1_4_100，3_10002_1"
70001,2,0,5,3,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100","1_2_100,1_4_100，3_10002_1"
70001,3,0,6,3,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100","1_2_100,1_4_100，3_10002_1"
70001,3,1,7,0,,"1_2_100,1_4_100，3_10002_1"
70001,3,2,7,0,,"1_2_100,1_4_100，3_10002_1"
70001,4,0,8,1,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100","1_2_100,1_4_100，3_10002_1"
70001,5,0,9,2,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100","1_2_100,1_4_100，3_10002_1"
70001,6,0,10,3,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100","1_2_100,1_4_100，3_10002_1"
70001,6,1,11,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,2,12,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,3,13,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,4,14,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,5,15,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,6,16,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,7,17,0,,"1_2_100,1_4_100，3_10002_1"
70001,6,8,18,0,,"1_2_100,1_4_100，3_10002_1"
