#NUM,TEXT,NUM ,TEXT,NUM ,1,NUM ,NUM ,NUM,TEXT,NUM ,NUM ,NUM ,NUM ,NUM ,NUM ,TEXT,TEXT,TEXT,NUM ,NUM ,NUM ,NUM,NUM,NUM,NUM,NUM
id,name ,classType,asset ,type ,grade,minLevel ,condition,times ,tips,bindType,sellPrice,sellType ,buyPrice,buyType ,stack ,rewardId ,needItem ,targetItem,needCount ,addAttrType ,addAttrValue ,gemId,maxGem,part,durability,equipAttId
#id,名称,1角色2怪物,资源,类型,品级,最低级别,使用条件,每天可使用次数,提示文案,绑定类型,数量,1宝石2金币,数量,1宝石2金币,堆叠上限,宝箱的奖励列表,前置装备列表,合成/兑换列表,合成/兑换需要数量,消耗品增益类型,消耗品增益数量,宝石增益ID,最大镶嵌宝石数,部位,耐久度,装备属性ID
10001,钥匙,0,,1,1,1,0,0,,2,0,0,0,0,1,,,,0,0,0,0,0,0,0,0
10002,无名,0,,1,1,1,0,0,,2,0,0,0,0,100,,,,0,0,0,0,0,0,0,0
20001,碎片1,0,,2,1,1,0,0,,0,100,2,200,1,100,,,4_70001_1_3_2,50,0,0,0,0,0,0,0
30001,宝石1,0,,3,1,1,0,0,,0,100,2,200,1,100,,,,0,0,0,3001,0,0,0,0
40001,宝箱1,0,,4,1,1,0,0,,2,0,0,0,0,1,3001,,,0,0,0,0,0,0,0,0
40002,宝箱2,0,,4,1,1,0,0,,2,0,0,0,0,1,3001,3_10001_1,,0,0,0,0,0,0,0,0
50001,经验药水,0,,5,1,1,0,0,,2,0,0,0,0,100,,,,0,3,100,0,0,0,0,0
60001,兑换券,0,,6,1,1,0,0,,2,0,0,0,0,100,,,"3_20001_1,4_70001_1_3_2",1,0,0,0,0,0,0,0
70001,装备1,0,,7,1,1,0,0,,1,100,2,200,1,100,,,,0,0,0,0,5,1,100,1001
