#NUM,NUM,NUM,TEXT,TEXT,NUM,NUM,NUM,NUM,TEXT,TEXT,NUM,NUM,NUM,NUM,TEXT
id,group,type,name,icon,level,cycle,timeBeginId,timeEndId,goalType,goalParam,goalCount,rewardId,expK,expB,speechId
#任务Id,任务组,类别,名称,图标,接取等级,循环性,开放时间配置Id,关闭时间配置Id,目标类型,目标参数,目标值,奖励,经验系数k,经验系数b,后续对话Id
10001,1,1,通关某副本,,1,1,0,0,difficulty,demo,1,10001,1,1,
10002,1,1,三星通关某副本,,1,1,0,0,3stars,demo,1,10001,1,1,
10003,1,3,达到等级,,1,1,0,0,level,,2,10001,1,1,
10004,1,1,品级怪物拥有数,,1,1,0,0,petquality,1,2,10001,1,1,
10005,1,1,等级怪物拥有数,,1,1,0,0,petlevel,10,2,10001,1,1,
20001,2,1,累计完成普通副本数,,2,1,0,0,normal,,2,10001,1,1,
20002,2,1,累计完成精英副本数,,2,1,0,0,hard,,2,10001,1,1,
20003,2,1,累计完成副本数,,2,1,0,0,all,,2,10001,1,1,
20004,2,1,累计竞技场数,,2,1,0,0,arena,,2,10001,1,1,
20005,2,1,累计时光之穴数,,2,1,0,0,time,,2,10001,1,1,
20006,2,1,累计炼妖数,,2,1,0,0,petmix,,2,10001,1,1,
20007,2,1,累计大冒险数,,2,1,0,0,adventure,,2,10001,1,1,
20008,2,1,累计bossrush数,,2,1,0,0,bossrush,,2,10001,1,1,
20009,2,1,累计探索数,,2,1,0,0,explore,,2,10001,1,1,
20010,2,1,累计技能升级数,,2,1,0,0,skill,,2,10001,1,1,
20011,2,1,累计装备升级数,,2,1,0,0,equip,,2,10001,1,1,
20012,2,1,累计购买金币次数,,2,1,0,0,buycoin,,2,10001,1,1,
30001,3,2,今日完成普通副本数,,2,2,0,0,normal,,2,10001,1,1,
30002,3,2,今日完成精英副本数,,2,2,0,0,hard,,2,10001,1,1,
30003,3,2,今日完成副本数,,2,2,0,0,all,,2,10001,1,1,
30004,3,2,今日竞技场数,,2,2,0,0,arena,,2,10001,1,1,
30005,3,2,今日时光之穴数,,2,2,0,0,time,,2,10001,1,1,
30006,3,2,今日炼妖数,,2,2,0,0,petmix,,2,10001,1,1,
30007,3,2,今日大冒险数,,2,2,0,0,adventure,,2,10001,1,1,
30008,3,2,今日bossrush数,,2,2,0,0,bossrush,,2,10001,1,1,
30009,4,2,今日探索数,,2,2,201,202,explore,,2,10001,1,1,
30010,4,2,今日技能升级数,,2,2,202,203,skill,,2,10001,1,1,
30011,4,2,今日装备升级数,,2,2,203,204,equip,,2,10001,1,1,
30012,4,2,今日购买金币次数,,2,2,204,205,buycoin,,2,10001,1,1,
