#TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,NUM,NUM
id,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust,icon,tips,baseTipValue,maxLevel
#id,rootEffectID,操作次数,引导时间,energyCost,energyGenerate,category,levelAdjust,图标,tips,1级时tips显示数值,最大级别数
s1,e1,0,0,0,10,0,0,,This is spell {0},10,100
s2,e2,0,0,0,10,0,0,,This is spell {0},10,100
s3,e2,3,5,100,0,0,0,,This is spell {0},10,100
lazy,lazye1,0,0,0,0,7,0,,This is spell {0},10,100
defend,defende1,0,0,0,0,3,0,,This is spell {0},10,100
attackSlight,attackSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackMedium,attackMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackStrong,attackStronge1,0,0,0,100,0,0,,This is spell {0},10,100
attackTriSlight,attackTriSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackTriMedium,attackTriMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackTriStrong,attackTriStronge1,0,0,0,100,0,0,,This is spell {0},10,100
attackCutSlight,attackCutSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackCutMedium,attackCutMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackCutStrong,attackCutStronge1,0,0,0,100,0,0,,This is spell {0},10,100
attackCutTriSlight,attackCutTriSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackCutTriMedium,attackCutTriMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackCutTriStrong,attackCutTriStronge1,0,0,0,100,0,0,,This is spell {0},10,100
attackStabSlight,attackStabSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackStabMedium,attackStabMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackStabStrong,attackStabStronge1,0,0,0,100,0,0,,This is spell {0},10,100
attackStabTriSlight,attackStabTriSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackStabTriMedium,attackStabTriMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackStabTriStrong,attackStabTriStronge1,0,0,0,100,0,0,,This is spell {0},10,100
attackSmashSlight,attackSmashSlighte1,0,0,0,100,0,0,,This is spell {0},10,100
attackSmashMedium,attackSmashMediume1,0,0,0,100,0,0,,This is spell {0},10,100
attackSmashStrong,attackSmashStronge1,0,0,0,100,0,0,,This is spell {0},10,100
magicMetalSlight,magicMetalSlighte1,0,0,0,100,1,0,,This is spell {0},10,100
magicMetalMedium,magicMetalMediume1,0,0,0,100,1,0,,This is spell {0},10,100
magicMetalStrong,magicMetalStronge1,0,0,0,100,1,0,,This is spell {0},10,100
magicPlantSlight,magicPlantSlighte1,0,0,0,100,1,0,,This is spell {0},10,100
magicPlantMedium,magicPlantMediume1,0,0,0,100,1,0,,This is spell {0},10,100
magicPlantStrong,magicPlantStronge1,0,0,0,100,1,0,,This is spell {0},10,100
magicWaterSlight,magicWaterSlighte1,0,0,0,100,1,0,,This is spell {0},10,100
magicWaterMedium,magicWaterMediume1,0,0,0,100,1,0,,This is spell {0},10,100
magicWaterStrong,magicWaterStronge1,0,0,0,100,1,0,,This is spell {0},10,100
magicFireSlight,magicFireSlighte1,0,0,0,100,1,0,,This is spell {0},10,100
magicFireMedium,magicFireMediume1,0,0,0,100,1,0,,This is spell {0},10,100
magicFireStrong,magicFireStronge1,0,0,0,100,1,0,,This is spell {0},10,100
magicEarthSlight,magicEarthSlighte1,0,0,0,100,1,0,,This is spell {0},10,100
magicEarthMedium,magicEarthMediume1,0,0,0,100,1,0,,This is spell {0},10,100
magicEarthStrong,magicEarthStronge1,0,0,0,100,1,0,,This is spell {0},10,100
magicCureSlight,magicCureSlighte1,0,0,0,100,2,0,,This is spell {0},10,100
magicCureMedium,magicCureMediume1,0,0,0,100,2,0,,This is spell {0},10,100
magicCureStrong,magicCureStronge1,0,0,0,100,2,0,,This is spell {0},10,100
buffMagic,buffMagice1,0,0,0,100,5,0,,This is spell {0},10,100
buffAttack,buffAttacke1,0,0,0,100,5,0,,This is spell {0},10,100
debuffDefense,debuffDefensee1,0,0,0,100,6,0,,This is spell {0},10,100
bossJiuweihu1,bossJiuweihu1e1,0,0,0,100,2,0,,This is spell {0},10,100
bossJiuweihu2,bossJiuweihu2e1,0,0,0,100,2,0,,This is spell {0},10,100
bossJiuweihu3,bossJiuweihu3e1,0,0,0,100,2,0,,This is spell {0},10,100
bossJiuweihu4,bossJiuweihu4e1,0,0,0,100,2,0,,This is spell {0},10,100
ultErshu,demoershuDazhaoe1,0,10,100,0,9,0,,This is spell {0},10,100
ultQingniao,demoqingniaoDazhaoe1,0,10,100,0,9,0,,This is spell {0},10,100
ultZhuyan,demoDazhao,5,10,100,0,8,0,,This is spell {0},10,100
bossHundun,bossHundune1,0,0,0,0,1,0,,This is spell {0},10,100
