#NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
level,experience,health,strength,intelligence,speed,defense,endurance,recovery,output
#等级,升级所需经验,体力,力量,智力,速度,防御力,耐力,战后回血,产出经验
1,123,234,345,456,567,678,789,1233,2010
2,124,235,346,457,568,679,790,1234,2011
3,125,236,347,458,569,680,791,1235,2012
4,126,237,348,459,570,681,792,1236,2013
5,127,238,349,460,571,682,793,1237,2014
6,128,239,350,461,572,683,794,1238,2015
7,129,240,351,462,573,684,795,1239,2016
8,130,241,352,463,574,685,796,1240,2017
9,131,242,353,464,575,686,797,1241,2018
10,132,243,354,465,576,687,798,1242,2019
11,133,244,355,466,577,688,799,1243,2020
12,134,245,356,467,578,689,800,1244,2021
13,135,246,357,468,579,690,801,1245,2022
14,136,247,358,469,580,691,802,1246,2023
15,137,248,359,470,581,692,803,1247,2024
16,138,249,360,471,582,693,804,1248,2025
17,139,250,361,472,583,694,805,1249,2026
18,140,251,362,473,584,695,806,1250,2027
19,141,252,363,474,585,696,807,1251,2028
20,142,253,364,475,586,697,808,1252,2029
21,143,254,365,476,587,698,809,1253,2030
22,144,255,366,477,588,699,810,1254,2031
23,145,256,367,478,589,700,811,1255,2032
24,146,257,368,479,590,701,812,1256,2033
25,147,258,369,480,591,702,813,1257,2034
26,148,259,370,481,592,703,814,1258,2035
27,149,260,371,482,593,704,815,1259,2036
28,150,261,372,483,594,705,816,1260,2037
29,151,262,373,484,595,706,817,1261,2038
30,152,263,374,485,596,707,818,1262,2039
31,153,264,375,486,597,708,819,1263,2040
32,154,265,376,487,598,709,820,1264,2041
33,155,266,377,488,599,710,821,1265,2042
34,156,267,378,489,600,711,822,1266,2043
35,157,268,379,490,601,712,823,1267,2044
36,158,269,380,491,602,713,824,1268,2045
37,159,270,381,492,603,714,825,1269,2046
38,160,271,382,493,604,715,826,1270,2047
39,161,272,383,494,605,716,827,1271,2048
40,162,273,384,495,606,717,828,1272,2049
41,163,274,385,496,607,718,829,1273,2050
42,164,275,386,497,608,719,830,1274,2051
43,165,276,387,498,609,720,831,1275,2052
44,166,277,388,499,610,721,832,1276,2053
45,167,278,389,500,611,722,833,1277,2054
46,168,279,390,501,612,723,834,1278,2055
47,169,280,391,502,613,724,835,1279,2056
48,170,281,392,503,614,725,836,1280,2057
49,171,282,393,504,615,726,837,1281,2058
50,172,283,394,505,616,727,838,1282,2059
