#NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,TEXT,TEXT
stage,health,strength,intelligence,speed,defense,endurance,recovery,modifyRate,demandLevel,demandItem,demandMonster
#品质,体力,力量,智力,速度,防御力,耐力,战后回血,品质系数K,需求该宠物等级,需求材料,需求怪物
1,1000,100,100,100,100,0,0,1,0,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
2,1000,100,100,100,100,0,0,1,0,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
3,1000,100,100,100,100,0,0,1,0,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
4,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
5,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
6,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
7,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
8,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
9,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
10,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
11,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
12,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
13,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
14,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
15,1000,100,100,100,100,0,0,1,1,10001;1|10002;4,Unit_Demo_ershu;1;1|Unit_Demo_qingniao;1;1
